code,title,intro,includes,alsoIncludes,excludes
01,Food and non-alcoholic beverages,"Division 01 covers food (01.1) purchased by households mainly for consumption or preparation at home and non-alcoholic beverages (01.2) purchased by households, regardless of where they are consumed. Division 01 excludes food and non-alcoholic beverages that are provided by facilities such as restaurants and school cafeterias through their food and beverage serving services (division 11).

Services purchased for the processing of primary goods provided by households to produce food and non-alcoholic beverages for their own consumption are also classified under this division (01.3).

Food comprises all edible goods that are purchased and consumed by households for the purpose of nourishment. Food includes: cereals and cereal products; meat; fish and other seafood; milk, other dairy products and eggs; oils and fats; fruit and nuts; vegetables, tubers, plantains, cooking bananas and pulses; sugar, confectionery and desserts; salt, condiments and sauces; and spices, culinary herbs and seeds.

Division 01 also includes baby food and ready-made food that can be eaten as is or after heating.

Division 01 does not include alcoholic beverages (02.1).",,,
01.1,Food,"Group 01.1 covers food purchased by households mainly for consumption or preparation at home, excluding food that is provided by facilities such as restaurants through their food-serving services.

Food comprises all edible goods that are purchased and consumed by households for the purpose of nourishment. Food includes: cereals and cereal products; meat; fish and other seafood; milk, other dairy products and eggs; oils and fats; fruits and nuts; vegetables, tubers, plantains, cooking bananas and pulses; sugar, confectionery and desserts; and salt, condiments and sauces and spices, culinary herbs and seeds.",* products that need to be cooked or further prepared as well as ready-made food,,"* services related to local delivery of food or drinks, when separately priced (07.4.9.2)
* products for animal feeding (09.3.2.2)
* food provided by food serving services (division 11)"
01.1.1,Cereals and cereal products (ND),,,,
01.1.1.1,Cereals (ND),"Dried cereal grains, whether broken or precooked (steamed), not further prepared.","* wheat
* rice, including parboiled rice
* sorghum
* barley
* millet
* maize (corn)
* quinoa
* teff","* bulgur
* rye
* oats
* triticale
* buckwheat
* canary seed
* quihuicha, or Inca wheat
* canagua, or coaihua
* adlay or Job’s tears
* mixed cereal grains, in the form of dried grains, also including other ingredients (provided that none of these is the main ingredient) but not further processed","* flour of cereals (01.1.1.2)
* breakfast cereals (01.1.1.4)
* cereal-based ready-made preparations such as-ready-made soups based on cereals (01.1.9.1)
* baby rice cereals and other baby cereals (01.1.9.2)
* seeds for planting (09.3.1.2)"
01.1.1.2,Flour of cereals (ND),Flour of cereals mentioned in subclass 01.1.1.1 whether instant (precooked – steamed – or added with yeasts) or not.,* flour of cereals listed under subclass 01.1.1.1,"* instant flour for bakery products with yeasts added
* polenta flour, whether instant (pre-steamed) or not","* flour as baby food, baby rice cereals and other baby cereals (01.1.9.2)"
01.1.1.3,Bread and bakery products (ND),,"* bread and bread rolls
* crispbreads, rusks, toasted bread and crackers
* tortillas
* injera
* pizza bases without topping, whether precooked or not
* gingerbread and the like
* sweet biscuits (cookies)
* waffles and wafers
* ice cream cones
* crumpets, muffins, croissants, sweet tarts, sweet pies, and other pastry goods and cakes",,"* pizza with topping, whether precooked or not; quiche; and meat and fish pies (01.1.9.1)"
01.1.1.4,Breakfast cereals (ND),,"* cornflakes, oatmeal and oat flakes, muesli, granola and puffed cereals including puffed rice cakes
* breakfast cereals with nuts or dried fruit",,* popcorn (1.1.1.9)
01.1.1.5,"Macaroni, noodles, couscous and similar pasta products (ND)",,"* uncooked pasta, whether stuffed or not, and couscous
* uncooked dumplings, ravioli and similar products",,"* bulgur (01.1.1.1)
* prepared dishes containing stuffed pasta, and prepared couscous dishes (01.1.9.1)"
01.1.1.9,Other milled cereal and grain products (ND),,"* mixes and doughs for the preparation of bakery products
* popcorn
* granola bars
* malt and malt extract
* cereal chips and crisps",* seitan and other meat substitutes made from cereals,"* soy meat and soy burgers, veggie burgers, tofu, tempeh and other meat substitutes made from vegetables and nuts; and potato starch, tapioca, sago and other starches (01.1.7.9)
* ready-made cereal-based preparations, such as ready-made cereal-based soups (01.1.9.1)"
01.1.2,"Live animals, and meat and other parts of slaughtered land animals (ND)",,,,
01.1.2.1,Live land animals (ND),"Live land animals, both domestic and wild, for human consumption as food.","* cattle (cows; calves; common ox, zebu or humped ox; watusi, gaur, gayal, banteng and yak)
* buffaloes (Indian or water buffaloes; arnis, or Asiatic buffaloes; Celebes anoas, or pygmy buffaloes; African buffaloes, such as the dwarf buffalo and the large Caffrarian buffalo; American bisons, known simply as buffaloes; European bisons; and beefaloes (hybrid offspring of American bisons and domestic cattle)
* pigs
* goats, lambs and sheep
* poultry (chickens, ducks, geese, turkeys and guinea fowl)
* hares and rabbits
* horses, donkeys and other equines
* camels, dromedaries, alpaca, llamas, guanacos, vicuñas and other camelids
* ostriches, emus, rheas, pheasants, grouse, pigeons, quails and other birds
* snakes and other reptiles
* spiders, scorpions, insects and worms
* terrestrial snails
* frogs",,"* live fish (01.1.3.1)
* other live seafood (01.1.3.4)
* live animals for transport (07.1.4.0)
* live animals purchased for recreational purposes (09.1.2.4)"
01.1.2.2,"Meat, fresh, chilled or frozen (ND)","Meat of all animals, both domestic and wild, fresh, chilled or frozen.","* meat of cattle (cows; calves; common ox, zebu or humped ox; watusi; gaur; gayal, banteng and yak)
* meat of buffaloes (Indian or water buffaloes; arnis, or wild water buffaloes: Asiatic buffalo or arni, Sulawesi anoas, or pygmy buffaloes, African buffaloes, such as the dwarf buffalo and the large Caffrarian buffalo the American bisons, known simply as buffaloes; European bisons; and beefaloes (hybrid offspring of American bisons and domestic cattle)
* meat of pigs
* meat of goats, lambs and sheep
* meat of poultry (chickens, ducks, geese, turkeys and guinea fowl)
* meat of hares and rabbits
* meat of horses, donkeys and other equines
* meat of camels, dromedaries, alpaca, llamas, guanacos, vicuñas and other camelids
* meat of antelopes, deer, boars and kangaroos
* meat of ostriches, emus, rheas, pheasants, grouse, pigeons, quails and other birds
* meat of snakes, alligators and other reptiles
* spiders, scorpions, insects, and worms (not-live)
* terrestrial snails
* frogs","* minced meat of the animals listed directly above
* meat of seals, walruses, whales and other marine mammals",
01.1.2.3,"Meat, dried, salted, in brine or smoked (ND)","Meat of all animals, dried, salted, in brine or smoked.","* meat of all animals listed in 01.1.2.2, both domestic and wild, dried, salted, in brine or smoked
* bacon, ham and salami",,* pâté (01.1.2.5)
01.1.2.4,"Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)","Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked.","* bones
* pork heads, tails and ears; and chicken feet",,"* preparations of offal, blood and other parts of slaughtered animals (01.1.2.5)"
01.1.2.5,"Preparations of meat, offal, blood and other parts of slaughtered animals (ND)","Preparations of meat, offal and blood, whether frozen or not.","* sausages and similar meat, offal and blood products
* marinated meat
* canned meat, meat extracts and meat juices
* minced meat mix, from different types of meat
* all kind of pâté, including liver pâté
* breaded meat
* other preparations of meat, offal and blood",,
01.1.3,Fish and other seafood (ND),"Fish and other seafood (such as crustaceans, molluscs and other aquatic invertebrates), harvested or farmed, in fresh and marine waters, whole or in parts (e.g., cuts, fillets and meat, whether minced or not), including livers, roes, fins, maws, meal and other offal.","* aquatic turtles
* other edible aquatic invertebrates and animals, such as sea cucumbers, sea urchins, sea squirts and jellyfish",,"* marine mammals, frogs and terrestrial snails (01.1.2.1, 01.1.2.2, 01.1.2.3)
* seaweeds and other aquatic plants (01.1.7.4)"
01.1.3.1,"Fish, live, fresh, chilled or frozen (ND)","Fish, live, fresh, chilled or frozen.","* fish, live, purchased as food
* fish, fresh, chilled or frozen
* fish fillets and meat, whether minced or not, fresh, chilled or frozen",,"* meal, livers, roes, fins, maws and other offal (01.1.3.7)"
